Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
Thomomys mazama tumuli,Tenino pocket gopher,Wherever found,1,Threatened,Mammals
Etheostoma spilotum,Kentucky arrow darter,Wherever found,4,Threatened,Fishes
Sylvilagus bachmani riparius,Riparian brush rabbit,Wherever found,8,Endangered,Mammals
Leptodea leptodon,Scaleshell mussel,Wherever found,3,Endangered,Clams
Medionidus walkeri,Suwannee moccasinshell,Wherever found,4,Threatened,Clams
Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,Wherever found,4,Endangered,Birds
Corynorhinus (=Plecotus) townsendii ingens,Ozark big-eared bat,Wherever found,2,Endangered,Mammals
Ambystoma californiense,California tiger Salamander,U.S.A. (CA - Santa Barbara County),8,Endangered,Amphibians
Eurycea chisholmensis,Salado Salamander,Wherever found,2,Threatened,Amphibians
Achatinella spp.,Oahu tree snails,Wherever found,1,Endangered,Snails
Gammarus pecos,Pecos amphipod,Wherever found,2,Endangered,Crustaceans
Lemiox rimosus,Birdwing pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals
Alasmidonta atropurpurea,Cumberland elktoe,Wherever found,4,Endangered,Clams
Ictalurus pricei,Yaqui catfish,Wherever found,2,Threatened,Fishes
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds
Hesperia dacotae,Dakota Skipper,Wherever found,3,Threatened,Insects
Cicurina venii,Braken Bat Cave Meshweaver,Wherever found,2,Endangered,Arachnids
Anas wyvilliana,Hawaiian (=koloa) Duck,Wherever found,1,Endangered,Birds
Gallicolumba stairi,Friendly Ground-Dove,American Samoa DPS,1,Endangered,Birds
Speoplatyrhinus poulsoni,Alabama cavefish,Wherever found,4,Endangered,Fishes
Reithrodontomys raviventris,Salt marsh harvest mouse,wherever found,8,Endangered,Mammals
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles
Juturnia kosteri,Koster's springsnail,Wherever found,2,Endangered,Snails
Chasmistes cujus,Cui-ui,Wherever found,8,Endangered,Fishes
Streptocephalus woottoni,Riverside fairy shrimp,Wherever found,8,Endangered,Crustaceans
Epicrates inornatus,Puerto Rican boa,Wherever found,4,Endangered,Reptiles
Drosophila ochrobasis,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
Anolis roosevelti,Culebra Island giant anole,Wherever found,4,Endangered,Reptiles
Noturus baileyi,Smoky madtom,Wherever found,4,Endangered,Fishes
Etheostoma wapiti,Boulder darter,Wherever found,4,Endangered,Fishes
Fulica americana alai,Hawaiian coot,Wherever found,1,Endangered,Birds
Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i)),4,"Experimental Population, Non-Essential",Fishes
Batrisodes venyivi,Helotes mold beetle,Wherever found,2,Endangered,Insects
Grus canadensis pulla,Mississippi sandhill crane,Wherever found,4,Endangered,Birds
Hylaeus anthracinus,Anthricinan yellow-faced bee,Wherever found,1,Endangered,Insects
Martes caurina,"Pacific Marten, Coastal Distinct Population Segment",Wherever found,8,Threatened,Mammals
Etheostoma okaloosae,Okaloosa darter,Wherever found,4,Threatened,Fishes
Dipodomys nitratoides nitratoides,Tipton kangaroo rat,Wherever found,8,Endangered,Mammals
Pleurobema taitianum,Heavy pigtoe,Wherever found,4,Endangered,Clams
Partula gibba,Humped tree snail,Wherever found,1,Endangered,Snails
Percina aurora,Pearl darter,Wherever found,4,Threatened,Fishes
Strymon acis bartrami,Bartram's hairstreak Butterfly,Wherever found,4,Endangered,Insects
Batrachoseps aridus,Desert slender salamander,Wherever found,8,Endangered,Amphibians
Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,Wherever found,8,Endangered,Birds
Etheostoma scotti,Cherokee darter,Wherever found,4,Threatened,Fishes
Gila robusta jordani,Pahranagat roundtail chub,Wherever found,8,Endangered,Fishes
Vetericaris chaceorum,Anchialine pool shrimp,Wherever found,1,Endangered,Crustaceans
Rhinichthys osculus nevadensis,Ash Meadows speckled dace,Wherever found,8,Endangered,Fishes
Etheostoma fonticola,Fountain darter,Wherever found,2,Endangered,Fishes
Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,Wherever found,8,Endangered,Mammals
Pseudocopaeodes eunus obscurus,Carson wandering skipper,Wherever found,8,Endangered,Insects
Crocodylus acutus,American crocodile,U.S.A. (FL),4,Threatened,Reptiles
Bombus franklini,Franklin's bumblebee,Wherever found,1,Endangered,Insects
Ptychobranchus subtentus,Fluted kidneyshell,Wherever found,4,Endangered,Clams
Graptemys flavimaculata,Yellow-blotched map turtle,Wherever found,4,Threatened,Reptiles
Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams
Margaritifera marrianae,Alabama pearlshell,Wherever found,4,Endangered,Clams
Elliptio steinstansana,Tar River spinymussel,Wherever found,4,Endangered,Clams
Quadrula fragosa,Winged Mapleleaf,U.S.A. (AL-specified portions of the Tennessee River; see 17.85(a)(1)),4,"Experimental Population, Non-Essential",Clams
Menidia extensa,Waccamaw silverside,Wherever found,4,Threatened,Fishes
Cicindela puritana,Puritan tiger beetle,Wherever found,5,Threatened,Insects
Grus americana,Whooping crane,"U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)",4,"Experimental Population, Non-Essential",Birds
Lepidomeda albivallis,White River spinedace,Wherever found,8,Endangered,Fishes
Erinna newcombi,Newcomb's snail,Wherever found,1,Threatened,Snails
Amblyopsis rosae,Ozark cavefish,Wherever found,4,Threatened,Fishes
Pterodroma cahow,Bermuda petrel,Wherever found,4,Endangered,Birds
Notropis buccula,Smalleye Shiner,Wherever found,2,Endangered,Fishes
Corvus kubaryi,Mariana (=aga) Crow,Wherever found,1,Endangered,Birds
Laterallus jamaicensis ssp. jamaicensis,Eastern Black rail,Wherever found,4,Threatened,Birds
Trimerotropis infantilis,Zayante band-winged grasshopper,Wherever found,8,Endangered,Insects
Etheostoma sellare,Maryland darter,Wherever found,5,Endangered,Fishes
Lepidurus packardi,Vernal pool tadpole shrimp,Wherever found,8,Endangered,Crustaceans
Notropis oxyrhynchus,Sharpnose Shiner,Wherever found,2,Endangered,Fishes
Gymnogyps californianus,California condor,"U.S.A. (specific portions of Arizona, Nevada, and Utah)",8,"Experimental Population, Non-Essential",Birds
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams
Orthalicus reses (not incl. nesodryas),Stock Island tree snail,Wherever found,4,Threatened,Snails
Masticophis lateralis euryxanthus,Alameda whipsnake (=striped racer),Wherever found,8,Threatened,Reptiles
Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes
Villosa perpurpurea,Purple bean,Wherever found,5,Endangered,Clams
Setophaga angelae,Elfin-woods warbler,Wherever found,4,Threatened,Birds
Enhydra lutris nereis,Southern sea otter,Wherever found,8,Threatened,Mammals
Noturus flavipinnis,Yellowfin madtom,"U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))",4,"Experimental Population, Non-Essential",Fishes
Pyrgus ruralis lagunae,Laguna Mountains skipper,Wherever found,8,Endangered,Insects
Chasiempis ibidis,Oahu elepaio,Wherever found,1,Endangered,Birds
Gambusia gaigei,Big Bend gambusia,Wherever found,2,Endangered,Fishes
Cyclargus (=Hemiargus) thomasi bethunebakeri,Miami Blue Butterfly,Wherever found,4,Endangered,Insects
Nerodia erythrogaster neglecta,Copperbelly water snake,"Indiana north of 40 degrees north latitude, Michigan, Ohio",3,Threatened,Reptiles
Syncaris pacifica,California freshwater shrimp,Wherever found,8,Endangered,Crustaceans
Anas laysanensis,Laysan duck,Wherever found,1,Endangered,Birds
Salvelinus confluentus,Bull Trout,Clackamas River subbasin experimental population,1,"Experimental Population, Non-Essential",Fishes
Necturus alabamensis,Black warrior (=Sipsey Fork) Waterdog,Wherever found,4,Endangered,Amphibians
Rhadine persephone,Tooth Cave ground beetle,Wherever found,2,Endangered,Insects
Corvus hawaiiensis,Hawaiian (='alala) Crow,Wherever found,1,Endangered,Birds
Stygobromus hayi,Hay's Spring amphipod,Wherever found,5,Endangered,Crustaceans
Partulina variabilis,Lanai tree snail,Wherever found,1,Endangered,Snails
Pyrgulopsis bruneauensis,Bruneau Hot springsnail,Wherever found,1,Endangered,Snails
Gila purpurea,Yaqui chub,Wherever found,2,Endangered,Fishes
Cambarus callainus,Big Sandy crayfish,Wherever found,5,Threatened,Crustaceans
Epioblasma turgidula,Turgid blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Eurycea [=Typhlomolge] rathbuni,Texas blind salamander,Wherever found,2,Endangered,Amphibians
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Gulf sturgeon,Wherever found,4,Threatened,Fishes
Procaris hawaiana,Anchialine pool Shrimp,Wherever found,1,Endangered,Crustaceans
Dromus dromas,Dromedary pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Cambarus veteranus,Guyandotte River crayfish,Wherever found,5,Endangered,Crustaceans
Oncorhynchus aguabonita whitei,Little Kern golden trout,Wherever found,8,Threatened,Fishes
Phoxinus cumberlandensis,Blackside dace,Wherever found,4,Threatened,Fishes
Polygyriscus virginianus,Virginia fringed mountain snail,Wherever found,5,Endangered,Snails
Euchloe ausonides insulanus,Island marble Butterfly,Wherever found,1,Endangered,Insects
Pleuronaia dolabelloides,Slabside Pearlymussel,Wherever found,4,Endangered,Clams
Drosophila sharpi,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
Neoleptoneta myopica,Tooth Cave Spider,Wherever found,2,Endangered,Arachnids
Ambrysus amargosus,Ash Meadows naucorid,Wherever found,8,Threatened,Insects
Partula radiolata,Guam tree snail,Wherever found,1,Endangered,Snails
Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,Wherever found,8,Threatened,Fishes
Euphydryas editha taylori,Taylor's (=whulge) Checkerspot,Wherever found,1,Endangered,Insects
Tryonia alamosae,Alamosa springsnail,Wherever found,2,Endangered,Snails
Clemmys muhlenbergii,bog turtle,"U.S.A. (GA, NC, SC, TN, VA)",4,Similarity of Appearance (Threatened),Reptiles
Perognathus longimembris pacificus,Pacific pocket mouse,Wherever found,8,Endangered,Mammals
Hesperia leonardus montana,Pawnee montane skipper,Wherever found,6,Threatened,Insects
Erimystax cahni,Slender chub,U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i)),4,"Experimental Population, Non-Essential",Fishes
Loxops coccineus,Hawaii akepa,Wherever found,1,Endangered,Birds
Dipodomys nitratoides exilis,Fresno kangaroo rat,Wherever found,8,Endangered,Mammals
Percina rex,Roanoke logperch,Wherever found,5,Endangered,Fishes
Pituophis melanoleucus lodingi,Black pine snake,Wherever found,4,Threatened,Reptiles
Somatochlora hineana,Hine's emerald dragonfly,Wherever found,3,Endangered,Insects
Nicrophorus americanus,American burying beetle,"Wherever found, except where listed as an experimental population",2,Threatened,Insects
Lasiurus cinereus semotus,Hawaiian hoary bat,Wherever found,1,Endangered,Mammals
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Wherever found,7,Endangered,Birds
Percina antesella,Amber darter,Wherever found,4,Endangered,Fishes
Cicindela nevadica lincolniana,Salt Creek Tiger beetle,Wherever found,6,Endangered,Insects
Tympanuchus cupido attwateri,Attwater's greater prairie-chicken,Wherever found,2,Endangered,Birds
Megalagrion xanthomelas,Orangeblack Hawaiian damselfly,Wherever found,1,Endangered,Insects
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals
Lampsilis rafinesqueana,Neosho Mucket,Wherever found,4,Endangered,Clams
Herpailurus (=Felis) yagouaroundi tolteca,Sinaloan Jaguarundi,Wherever found,2,Endangered,Mammals
Discus macclintocki,Iowa Pleistocene snail,Wherever found,3,Endangered,Snails
Canis lupus baileyi,Mexican wolf,U.S.A. (portions of AZ and NM)see 17.84(k),2,"Experimental Population, Non-Essential",Mammals
Obovaria retusa,Ring pink (mussel),Wherever found,4,Endangered,Clams
Peromyscus polionotus phasma,Anastasia Island beach mouse,Wherever found,4,Endangered,Mammals
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects
Eremichthys acros,Desert dace,Wherever found,8,Threatened,Fishes
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles
Cambarus aculabrum,Benton County cave crayfish,Wherever found,4,Endangered,Crustaceans
Telespyza ultima,Nihoa finch (honeycreeper),Wherever found,1,Endangered,Birds
Deltistes luxatus,Lost River sucker,Wherever found,8,Endangered,Fishes
Hemignathus hanapepe,Kauai nukupuu,Wherever found,1,Endangered,Birds
Heraclides aristodemus ponceanus,Schaus swallowtail butterfly,Wherever found,4,Endangered,Insects
Epioblasma florentina florentina,Yellow blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Elliptoideus sloatianus,Purple bankclimber (mussel),Wherever found,4,Threatened,Clams
Loxioides bailleui,Palila (honeycreeper),Wherever found,1,Endangered,Birds
Grus americana,Whooping crane,"Wherever found, except where listed as an experimental population",2,Endangered,Birds
Acrocephalus luscinia,Nightingale reed warbler (old world warbler),Wherever found,1,Endangered,Birds
Canis lupus baileyi,Mexican wolf,"Wherever found, except where listed as an experimental population",2,Endangered,Mammals
Dromus dromas,Dromedary pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Zapada glacier,Western glacier stonefly,Wherever found,6,Threatened,Insects
Pseudemys rubriventris bangsi,Plymouth Redbelly Turtle,Wherever found,5,Endangered,Reptiles
Phaeognathus hubrichti,Red Hills salamander,Wherever found,4,Threatened,Amphibians
Oreomystis mana,Hawaii creeper,Wherever found,1,Endangered,Birds
Paroreomyza flammea,Molokai creeper,Wherever found,1,Endangered,Birds
Mustela nigripes,Black-footed ferret,"Wherever found, except where listed as an experimental population",6,Endangered,Mammals
Cyprinodon radiosus,Owens pupfish,Wherever found,8,Endangered,Fishes
Fusconaia cor,Shiny pigtoe,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Ambystoma cingulatum,Frosted Flatwoods salamander,Wherever found,4,Threatened,Amphibians
Taylorconcha serpenticola,Bliss Rapids snail,Wherever found,1,Threatened,Snails
Speyeria zerene myrtleae,Myrtle's silverspot butterfly,Wherever found,8,Endangered,Insects
Vagrans egistina,Mariana wandering butterfly,Wherever found,1,Endangered,Insects
Gambusia nobilis,Pecos gambusia,Wherever found,2,Endangered,Fishes
Ovis canadensis nelsoni,Peninsular bighorn sheep,Peninsular CA pop.,8,Endangered,Mammals
Oncorhynchus clarkii seleniris,Paiute cutthroat trout,Wherever found,8,Threatened,Fishes
Chrosomus saylori,Laurel dace,Wherever found,4,Endangered,Fishes
Psittirostra psittacea,`O`u (honeycreeper),Wherever found,1,Endangered,Birds
Bison bison athabascae,Wood Bison,Alaska Experimental Population,7,"Experimental Population, Non-Essential",Mammals
Cicurina madla,Madla Cave Meshweaver,Wherever found,2,Endangered,Arachnids
Pleurobema decisum,Southern clubshell,Wherever found,4,Endangered,Clams
Hylaeus facilis,Easy yellow-faced bee,Wherever found,1,Endangered,Insects
Quadrula intermedia,Cumberland monkeyface (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Megalagrion pacificum,Pacific Hawaiian damselfly,Wherever found,1,Endangered,Insects
Polioptila californica californica,Coastal California gnatcatcher,Wherever found,8,Threatened,Birds
Epioblasma othcaloogensis,Southern acornshell,Wherever found,4,Endangered,Clams
Popenaias popeii,Texas Hornshell,Wherever found,2,Endangered,Clams
Hemistena lata,Cracking pearlymussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Aerodramus vanikorensis bartschi,Mariana gray swiftlet,Wherever found,1,Endangered,Birds
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds
Etheostoma moorei,Yellowcheek Darter,Wherever found,4,Endangered,Fishes
Etheostoma phytophilum,Rush Darter,Wherever found,4,Endangered,Fishes
Drepanis coccinea,`I`iwi,Wherever found,1,Threatened,Birds
Himantopus mexicanus knudseni,Hawaiian stilt,Wherever found,1,Endangered,Birds
Pyrgulopsis trivialis,Three Forks Springsnail,Wherever found,2,Endangered,Snails
Notropis cahabae,Cahaba shiner,Wherever found,4,Endangered,Fishes
Dendroica chrysoparia,Golden-cheeked warbler (=wood),Wherever found,2,Endangered,Birds
Antrolana lira,Madison Cave isopod,Wherever found,5,Threatened,Crustaceans
Etheostoma akatulo,bluemask darter,Wherever found,4,Endangered,Fishes
Gila ditaenia,Sonora chub,Wherever found,2,Threatened,Fishes
Drosophila montgomeryi,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
Cicindela ohlone,Ohlone tiger beetle,Wherever found,8,Endangered,Insects
Dinacoma caseyi,Casey's June Beetle,Wherever found,8,Endangered,Insects
Gammarus hyalleloides,Diminutive Amphipod,Wherever found,2,Endangered,Crustaceans
Herpailurus (=Felis) yagouaroundi cacomitli,Gulf Coast jaguarundi,Wherever found,2,Endangered,Mammals
Elaphrus viridis,Delta green ground beetle,Wherever found,8,Threatened,Insects
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Texamaurops reddelli,Kretschmarr Cave mold beetle,Wherever found,2,Endangered,Insects
Myadestes palmeri,Small Kauai (=puaiohi) Thrush,Wherever found,1,Endangered,Birds
Erimystax cahni,Slender chub,Wherever found,4,Threatened,Fishes
Chasmistes liorus,June sucker,Wherever found,6,Threatened,Fishes
Thomomys mazama pugetensis,Olympia pocket gopher,Wherever found,1,Threatened,Mammals
Thomomys mazama glacialis,Roy Prairie pocket gopher,Wherever found,1,Threatened,Mammals
Crenichthys baileyi grandis,Hiko White River springfish,Wherever found,8,Endangered,Fishes
Sterna dougallii dougallii,Roseate tern,Western Hemisphere except NE U.S.,4,Threatened,Birds
Villosa trabalis,Cumberland bean (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Plethobasus cicatricosus,White wartyback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Drosophila digressa,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
Branchinecta sandiegonensis,San Diego fairy shrimp,Wherever found,8,Endangered,Crustaceans
Epioblasma capsaeformis,Oyster mussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered,Birds
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams
Athearnia anthonyi,Anthony's riversnail,Wherever found; Except where listed as Experimental Populations,4,Endangered,Snails
Sylvilagus palustris hefneri,Lower Keys marsh rabbit,Wherever found,4,Endangered,Mammals
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Elliptio chipolaensis,Chipola slabshell,Wherever found,4,Threatened,Clams
Etheostoma nianguae,Niangua darter,Wherever found,3,Threatened,Fishes
Pyrgulopsis neomexicana,Socorro springsnail,Wherever found,2,Endangered,Snails
Campephilus principalis,Ivory-billed woodpecker,Wherever found,4,Endangered,Birds
Loxops ochraceus,Maui akepa,Wherever found,1,Endangered,Birds
Brachyramphus marmoratus,Marbled murrelet,"U.S.A. (CA, OR, WA)",1,Threatened,Birds
Gallinula galeata sandvicensis,Hawaiian common gallinule,Wherever found,1,Endangered,Birds
Quadrula cylindrica strigillata,Rough rabbitsfoot,Wherever found,5,Endangered,Clams
Percina jenkinsi,Conasauga logperch,Wherever found,4,Endangered,Fishes
Gymnogyps californianus,California condor,Pacific Northwest NEP,8,"Experimental Population, Non-Essential",Birds
Pyrgulopsis bernardina,San Bernardino springsnail,Wherever found,2,Threatened,Snails
Oceanodroma castro,Band-rumped storm-petrel,USA (HI),1,Endangered,Birds
Vulpes vulpes necator,Sierra Nevada red fox,,8,Endangered,Mammals
Ambystoma tigrinum stebbinsi,Sonora tiger Salamander,Wherever found,2,Endangered,Amphibians
Lampsilis virescens,Alabama lampmussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Threatened,Mammals
Cyprogenia stegaria,Fanshell,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Pipilo crissalis eremophilus,Inyo California towhee,Wherever found,8,Threatened,Birds
Enhydra lutris kenyoni,Northern Sea Otter,Southwest Alaska DPS,7,Threatened,Mammals
Oncorhynchus gilae,Gila trout,Wherever found,2,Threatened,Fishes
Fusconaia escambia,Narrow pigtoe,Wherever found,4,Threatened,Clams
Hemistena lata,Cracking pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Leptoxis ampla,Round rocksnail,Wherever found,4,Threatened,Snails
Lycaeides argyrognomon lotis,Lotis blue butterfly,Wherever found,8,Endangered,Insects
Notropis topeka (=tristis),Topeka shiner,"Wherever found, except where listed as an experimental population",6,Endangered,Fishes
Branchinecta lynchi,Vernal pool fairy shrimp,Wherever found,8,Threatened,Crustaceans
Medionidus simpsonianus,Ochlockonee moccasinshell,Wherever found,4,Endangered,Clams
Lanx sp.,Banbury Springs limpet,Wherever found,1,Endangered,Snails
Epioblasma brevidens,Cumberlandian combshell,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Plethobasus cicatricosus,White wartyback (pearlymussel),Wherever found,4,Endangered,Clams
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams
Lampsilis perovalis,Orangenacre mucket,Wherever found,4,Threatened,Clams
Gymnomyza samoensis,Mao (= maomao) (honeyeater),Wherever found,1,Endangered,Birds
Gila elegans,Bonytail,Wherever found,6,Endangered,Fishes
Thamnophis rufipunctatus,Narrow-headed gartersnake,Wherever found,2,Threatened,Reptiles
Epioblasma brevidens,Cumberlandian combshell,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles
Rhadine exilis,[no common name] Beetle,Wherever found,2,Endangered,Insects
Cyprinodon nevadensis pectoralis,Warm Springs pupfish,Wherever found,8,Endangered,Fishes
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams
Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,Wherever found,4,Endangered,Clams
Microtus pennsylvanicus dukecampbelli,Florida salt marsh vole,Wherever found,4,Endangered,Mammals
Cambarus zophonastes,Hell Creek Cave crayfish,Wherever found,4,Endangered,Crustaceans
Palaemonias alabamae,Alabama cave shrimp,Wherever found,4,Endangered,Crustaceans
Neonympha mitchellii mitchellii,Mitchell's satyr Butterfly,Wherever found,3,Endangered,Insects
Lepyrium showalteri,Flat pebblesnail,Wherever found,4,Endangered,Snails
Canis rufus,Red wolf,U.S.A. (portions of NC and TN),4,"Experimental Population, Non-Essential",Mammals
Epioblasma brevidens,Cumberlandian combshell,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Plagopterus argentissimus,Woundfin,"Gila R. drainage, AZ, NM",6,"Experimental Population, Non-Essential",Fishes
Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,Wherever found,5,Endangered,Mammals
Quadrula sparsa,Appalachian monkeyface (pearlymussel),USA (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Epioblasma capsaeformis,Oyster mussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Rallus owstoni,Guam rail,Rota,1,"Experimental Population, Non-Essential",Birds
Fusconaia burkei,Tapered pigtoe,Wherever found,4,Threatened,Clams
Etheostoma etowahae,Etowah darter,Wherever found,4,Endangered,Fishes
Amazona vittata,Puerto Rican parrot,Wherever found,4,Endangered,Birds
Elassoma alabamae,Spring pygmy sunfish,Wherever found,4,Threatened,Fishes
Peromyscus polionotus ammobates,Alabama beach mouse,Wherever found,4,Endangered,Mammals
Drosophila aglaia,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
Scaphirhynchus suttkusi,Alabama sturgeon,Wherever found,4,Endangered,Fishes
Palmeria dolei,crested honeycreeper (Akohekohe),Wherever found,1,Endangered,Birds
Batrisodes texanus,Coffin Cave mold beetle,Wherever found,2,Endangered,Insects
Polysticta stelleri,Steller's Eider,AK breeding pop.,7,Threatened,Birds
Peromyscus gossypinus allapaticola,Key Largo cotton mouse,Wherever found,4,Endangered,Mammals
Pleurobema curtum,Black clubshell,Wherever found,4,Endangered,Clams
Tryonia cheatumi,Phantom Tryonia,Wherever found,2,Endangered,Snails
Lirceus usdagalun,Lee County cave isopod,Wherever found,5,Endangered,Crustaceans
Peromyscus polionotus peninsularis,St. Andrew beach mouse,Wherever found,4,Endangered,Mammals
Pseudonestor xanthophrys,Maui parrotbill (Kiwikiu),Wherever found,1,Endangered,Birds
Medionidus penicillatus,Gulf moccasinshell,Wherever found,4,Endangered,Clams
Caretta caretta,Loggerhead sea turtle,Northwest Atlantic Ocean DPS,4,Threatened,Reptiles
Percina aurolineata,Goldline darter,Wherever found,4,Threatened,Fishes
Zosterops conspicillatus conspicillatus,Bridled white-eye,Wherever found,1,Endangered,Birds
Notropis mekistocholas,Cape Fear shiner,Wherever found,4,Endangered,Fishes
Potamilus inflatus,Inflated heelsplitter,Wherever found,4,Threatened,Clams
Etheostoma chermocki,Vermilion darter,Wherever found,4,Endangered,Fishes
Thamnophis gigas,Giant garter snake,Wherever found,8,Threatened,Reptiles
Alasmidonta raveneliana,Appalachian elktoe,Wherever found,4,Endangered,Clams
Rallus owstoni,Guam rail,"Wherever found, except where listed as an experimental population",1,Endangered,Birds
Lioplax cyclostomaformis,Cylindrical lioplax (snail),Wherever found,4,Endangered,Snails
Oncorhynchus apache,Apache trout,Wherever found,2,Threatened,Fishes
Eremophila alpestris strigata,Streaked Horned lark,Wherever found,1,Threatened,Birds
Leopardus (=Felis) wiedii,Margay,Wherever found,2,Endangered,Mammals
Hemistena lata,Cracking pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Hylaeus assimulans,Assimulans yellow-faced bee,Wherever found,1,Endangered,Insects
Palaemonias ganteri,Kentucky cave shrimp,Wherever found,4,Endangered,Crustaceans
Megalagrion nigrohamatum nigrolineatum,Blackline Hawaiian damselfly,Wherever found,1,Endangered,Insects
